X 2 3 4 5 6 7 8 9 10 A
5 HIT HIT HIT HIT HIT HIT HIT HIT HIT HIT
6 HIT HIT HIT HIT HIT HIT HIT HIT HIT HIT
7 HIT HIT HIT HIT HIT HIT HIT HIT HIT HIT
8 HIT HIT HIT HIT HIT HIT HIT HIT HIT HIT
9 HIT DOUBLE DOUBLE DOUBLE DOUBLE HIT HIT HIT HIT HIT
10 DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE HIT HIT
11 DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE
12 HIT HIT STAND STAND STAND HIT HIT HIT HIT HIT
13 STAND STAND STAND STAND STAND HIT HIT HIT HIT HIT
14 STAND STAND STAND STAND STAND HIT HIT HIT HIT HIT
15 STAND STAND STAND STAND STAND HIT HIT HIT HIT HIT
16 STAND STAND STAND STAND STAND HIT HIT HIT HIT HIT
17 STAND STAND STAND STAND STAND STAND STAND STAND STAND STAND
A2 HIT HIT HIT DOUBLE DOUBLE HIT HIT HIT HIT HIT
A3 HIT HIT HIT DOUBLE DOUBLE HIT HIT HIT HIT HIT
A4 HIT HIT DOUBLE DOUBLE DOUBLE HIT HIT HIT HIT HIT
A5 HIT HIT DOUBLE DOUBLE DOUBLE HIT HIT HIT HIT HIT
A6 HIT DOUBLE DOUBLE DOUBLE DOUBLE HIT HIT HIT HIT HIT
A7 STAND DOUBLE DOUBLE DOUBLE DOUBLE STAND STAND HIT HIT HIT
A8 STAND STAND STAND STAND STAND STAND STAND STAND STAND STAND
A9 STAND STAND STAND STAND STAND STAND STAND STAND STAND STAND
A11 SPLIT SPLIT SPLIT SPLIT SPLIT SPLIT SPLIT SPLIT SPLIT SPLIT
22 SPLIT SPLIT SPLIT SPLIT SPLIT SPLIT HIT HIT HIT HIT
33 SPLIT SPLIT SPLIT SPLIT SPLIT SPLIT HIT HIT HIT HIT
44 HIT HIT HIT SPLIT SPLIT HIT HIT HIT HIT HIT
55 DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE HIT HIT
66 SPLIT SPLIT SPLIT SPLIT SPLIT HIT HIT HIT HIT HIT
77 SPLIT SPLIT SPLIT SPLIT SPLIT SPLIT HIT HIT HIT HIT
88 SPLIT SPLIT SPLIT SPLIT SPLIT SPLIT SPLIT SPLIT SPLIT SPLIT
99 SPLIT SPLIT SPLIT SPLIT SPLIT STAND SPLIT SPLIT STAND STAND
1010 STAND STAND STAND STAND STAND STAND STAND STAND STAND STAND
